SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING,Security ID,LTP
20MICRONS,20 Microns Limited,EQ,06-Oct-08,16921,189.11
21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,4,42.79
360ONE,360 ONE WAM LIMITED,EQ,19-Sep-19,13061,1117.9
3IINFOLTD,3i Infotech Limited,EQ,22-Oct-21,6232,15.96
3MINDIA,3M India Limited,EQ,13-Aug-04,474,34495
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2595,37.66
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,445,304.5
63MOONS,63 moons technologies limited,EQ,20-Jun-05,11868,772.8
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,20906,14.95
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-May-24,23729,487.95
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,235,8.89
AARON,Aaron Industries Limited,EQ,06-Nov-20,1030,178.52
AARTECH,Aartech Solonics Limited,EQ,10-Jul-23,17145,49.43
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,4481,397.95
AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,7,349.7
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-Jan-23,13868,724.75
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,12121,158
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,19073,122.79
AAVAS,Aavas Financiers Limited,EQ,08-Oct-18,5385,1549.8
ABB,ABB India Limited,EQ,08-Feb-95,13,5117
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-10,17903,28075
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-17,21614,364.05
ABCOTS,A B Cotspin India Limited,EQ,24-Sep-25,759130,415.85
ABDL,Allied Blenders and Distillers Limited,EQ,02-Jul-24,24308,613.6
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,30108,75.89
ABINFRA,A B Infrabuild Limited,EQ,08-Nov-24,27020,19.6
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-Jun-25,756843,129.15
ABMINTLLTD,ABM International Limited,EQ,09-Sep-21,5549,44.95
ABREL,Aditya Birla Real Estate Limited,EQ,27-Jun-03,625,1632.1
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,6018,732.85
ACC,ACC Limited,EQ,20-Nov-96,22,1785
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-99,7053,1303.6
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,1465,5.66
ACE,Action Construction Equipment Limited,EQ,26-Sep-06,13587,938.5
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-Nov-22,11779,22.23
ACI,Archean Chemical Industries Limited,EQ,21-Nov-22,12024,499.15
ACL,Andhra Cements Limited,EQ,10-May-23,15420,70.55
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-Nov-24,27061,217.19
ACUTAAS,Acutaas Chemicals Limited,EQ,14-Sep-21,5578,1666.2
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-Jul-15,10217,974.6
ADANIENT,Adani Enterprises Limited,EQ,04-Jun-97,25,2245.2
ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,3563,998.9
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,15083,1497.2
ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,17388,141.8
ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,19761,204.28
ADL,Archidply Decor Limited,EQ,01-Oct-20,245,74.92
ADOR,Ador Welding Limited,EQ,10-May-95,34,1064.1
ADROITINFO,Adroit Infotech Limited,EQ,13-Aug-97,4953,10.09
ADSL,Allied Digital Services Limited,EQ,25-Jul-07,14813,158.45
ADVANCE,Advance Agrolife Limited,EQ,08-Oct-25,759402,114.69
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-07,14745,55.74
ADVENTHTL,Advent Hotels International Limited,EQ,13-Nov-25,759769,235.37
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-Aug-16,18039,307.8
AEGISLOG,Aegis Logistics Limited,EQ,03-Apr-96,40,752.65
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-Jun-25,757336,239.65
AEROENTER,Aeroflex Enterprises Limited,EQ,21-Nov-22,12015,80.13
AEROFLEX,Aeroflex Industries Limited,EQ,31-Aug-23,18268,172.89
AERONEU,Aeroflex Neu Limited,EQ,12-Jan-23,13689,74.82
AETHER,Aether Industries Limited,EQ,03-Jun-22,9810,849.25
AFCONS,Afcons Infrastructure Limited,EQ,04-Nov-24,25977,401.9
AFFLE,Affle 3i Limited,EQ,08-Aug-19,11343,1642
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-Oct-24,25855,211.52
AFIL,Akme Fintrade (India) Limited,EQ,26-Jun-24,24159,7.04
AFSL,Abans Financial Services Limited,EQ,23-Dec-22,13288,201.4
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-14,3389,710
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-Feb-25,29452,486.1
AGI,AGI Greenpac Limited,EQ,31-May-00,1412,737.4
AGIIL,Agi Infra Limited,EQ,15-Jul-24,24445,268.9
AGRITECH,Agri-Tech (India) Limited,EQ,28-Jan-14,11072,126.76
AGROPHOS,Agro Phos India Limited,EQ,08-Mar-19,9046,35.57
AHLADA,Ahlada Engineers Limited,EQ,28-Jan-21,2004,50.54
AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-10,19438,134.81
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,17833,970.9
AIAENG,AIA Engineering Limited,EQ,14-Dec-05,13086,3798.8
AIIL,Authum Investment & Infrastructure Limited,EQ,23-Apr-24,23553,2539.6
AIRAN,Airan Limited,EQ,03-May-19,9897,17.68
AIROLAM,Airo Lam limited,EQ,13-Oct-21,6068,100.81
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-00,8124,2621.1
AJAXENGG,Ajax Engineering Limited,EQ,17-Feb-25,29624,621.2
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-Jun-09,17307,982.6
AJOONI,Ajooni Biotech Limited,EQ,07-May-21,3403,4.49
AKASH,Akash Infra-Projects Limited,EQ,11-Oct-19,13510,25.59
AKG,Akg Exim Limited,EQ,16-Feb-21,2176,11.81
AKI,AKI India Limited,EQ,06-Apr-23,14890,7.84
AKSHAR,Akshar Spintex Limited,EQ,23-May-22,9558,0.53
AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-17,20178,247.6
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-Aug-00,8591,6.15
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-Aug-24,24715,421.6
AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-01,1467,3565.9
ALANKIT,Alankit Limited,EQ,30-Jun-15,9921,10.77
ALBERTDAVD,Albert David Limited,EQ,14-Jun-16,17256,759.65
ALEMBICLTD,Alembic Limited,EQ,22-Sep-99,79,98.06
ALICON,Alicon Castalloy Limited,EQ,29-Sep-06,13656,841.15
ALIVUS,Alivus Life Sciences Limited,EQ,06-Aug-21,5265,878.6
ALKALI,Alkali Metals Limited,EQ,06-Nov-08,16959,78.12
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-15,11703,5667.5
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-07,4487,1614.9
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-06,13501,12.54
